phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm],z_mat_sin_15[mm]
0.61941,40.9234599523231,78.0295769400367,117.138295168875,155.860562482616,195.33644509493,230.402268892756,268.963856945444,306.71575586457,343.561199956564,382.717708155051,420.804298215949,458.546121842548,496.996343479572,528.531387323732,553.747072646201
0.62941,40.925034696361,78.0285784951148,117.137544042632,155.863274448119,195.334883525601,230.40009989144,268.960074945167,306.707786352258,343.538552246546,382.694251075609,420.777308306348,458.511299149673,496.956020745469,528.487969115282,553.699677210782
0.63941,40.9266691419833,78.0275958076107,117.13675704982,155.865744164065,195.333366987268,230.398035838383,268.956596894825,306.700390625707,343.516999776514,382.671879128682,420.751760805466,458.478067088457,496.917430171185,528.446541037093,553.65445369407
0.64941,40.9283568387797,78.0266327557432,117.135937296341,155.867961883613,195.331901465015,230.396084879461,268.953436520695,306.69359787247,343.49662760422,382.650680606124,420.727756537619,458.446556810664,496.880724056088,528.407266586861,553.611580572622
0.65941,40.9300911261822,78.0256931402379,117.135088017386,155.869918854439,195.330492742588,230.394254714216,268.950606295328,306.687434900442,343.477516129321,382.630739168818,420.705390236684,458.416892672965,496.846047262444,528.370300762901,553.571227047064
0.66941,40.9318651597506,78.024780669328,117.134212564672,155.871607353272,195.329146379571,230.392552565475,268.948117388333,306.681926032057,343.459740776078,382.612133516507,420.684750172235,458.389191746159,496.813536643716,528.335789452431,553.533552374324
0.67941,40.9336719381849,78.0238989441193,117.13331439321,155.873020716378,195.327867689444,230.390985150841,268.945979622286,306.677093008302,343.443371695689,382.5949370772,420.665917801175,458.363563353148,496.783320504462,528.303868855826,553.498705239123
0.68941,40.935504330956,78.0230514443784,117.132397047674,155.87415336586,195.326661718613,230.389558656184,268.944201433976,306.672954902914,343.428473489435,382.579217717389,420.648967446269,458.340108637492,496.75551809398,528.274664949098,553.466823167185
0.69941,40.9373551064469,78.0222415147995,117.131464148406,155.875000831667,195.325533226494,230.388278711226,268.942789841097,306.669528047104,343.415104953731,382.565037474203,420.633966002825,458.318920164238,496.730239135683,528.248292986725,553.438031982482
0.70941,40.9392169604922,78.0214723518046,117.130519377134,155.875559769239,195.324486666729,230.387150367325,268.941750414564,306.666825965107,343.40331884808,382.552452310584,420.620972674685,458.300081554609,496.707583394069,528.224857046795,553.412445310665
0.71941,40.9410825452046,78.0207469909289,117.129566462439,155.875827972704,195.323526169611,230.38617807754,268.941087256516,306.664859320805,343.393161686856,382.541511894424,420.610038740581,458.283667155991,496.687640281001,528.204449620255,553.390164130641
0.72941,40.9429444979736,78.0200682948401,117.12860916504,155.875804383586,195.322655525785,230.385365679053,268.940802984137,306.663635875646,343.384673555733,382.532259402548,420.601207351755,458.269741748517,496.670488502835,528.187151245895,553.371276376046
0.73941,40.9447954705221,78.0194389420418,117.127651262951,155.875489094981,195.321878171283,230.384716378031,268.940898719318,306.663160458008,343.377887953488,382.524731350312,420.594513361664,458.258360289408,496.656195749803,528.173030192496,553.355856588219
0.74941,40.9466281579072,78.0188614163018,117.126696536576,155.874883351188,195.321197173969,230.384232736968,268.941374084238,306.663434944147,343.372831659793,382.518957447502,420.589983188428,458.249567696083,496.644818428872,528.162142189403,553.343965622018
0.75941,40.9484353273491,78.0183379968505,117.125748753782,155.873989542802,195.320615221428,230.383916664575,268.942227202848,306.664458250793,343.369524629529,382.514960481072,420.587634710572,458.243398668891,496.63640144113,528.154530206591,553.335650405655
0.76941,40.9502098467756,78.0178707493853,117.124811655036,155.872811197276,195.32013461036,230.383769408243,268.943454708279,306.666226339421,343.367979914033,382.512756225223,420.587477196464,458.239877554164,496.630978004582,528.150224285079,553.330943755488
0.77941,40.9519447129692,78.0174615179184,117.123888938638,155.871352965001,195.319757237518,230.383791549129,268.945051756127,306.668732232194,343.368203609592,382.512353379147,420.589511267742,458.239018248134,496.628569523054,528.149241418371,553.329864246517
0.78941,40.9536330792056,78.0171119174995,117.122984246128,155.869620600955,195.319484592221,230.38398299985,268.947012043575,306.671966039497,343.370194833382,382.513753532692,420.593728896855,458.240824142089,496.629185501722,528.151585485393,553.33241613907
0.79941,40.9552682822747,78.0168233278418,117.122101147914,155.867620941985,195.319317750473,230.384343004839,268.949327834263,306.67591499897,343.373945726952,382.516951160092,420.600113438748,458.245288108989,496.632823509601,528.157247235184,553.338589361993
0.80941,40.9568438687769,78.0165968878767,117.121243129182,155.865361879834,195.319257370725,230.38487014332,268.951989988823,306.680563525875,343.379441487238,382.521933641774,420.60863969655,458.252392531598,496.639469189135,528.166204323404,553.348359552395
0.81941,40.9583536205922,78.0164334912594,117.120413576139,155.862852329986,195.319303691267,230.385562334919,268.954988000948,306.6858932746,343.386660424986,382.528681314157,420.619274021018,458.262109372005,496.649096312863,528.178421400518,553.361688151799
