phase_(f*t)[-],d_mat_sin_01[mm],d_mat_sin_02[mm],d_mat_sin_03[mm],d_mat_sin_04[mm],d_mat_sin_05[mm],d_mat_sin_06[mm],d_mat_sin_07[mm],d_mat_sin_08[mm],d_mat_sin_09[mm],d_mat_sin_10[mm],d_mat_sin_11[mm],d_mat_sin_12[mm],d_mat_sin_13[mm],d_mat_sin_14[mm]
0.70565,0.999713353036643,3.6931698498074,7.68349919297106,12.6522530125578,18.6643106957841,24.5812146165908,31.5134850605941,38.0059557410869,47.7874228870846,55.9351072391372,63.826119723877,71.8390590150757,80.2616539420713,87.124906503411
0.71565,0.967051487535712,3.58972046466484,7.47556543193662,12.308783371476,18.152493371395,23.8938794225454,30.6190951990674,36.8057399476312,46.3917930387824,54.2765344381529,61.9150721779214,69.6544764339921,77.8117277466323,84.4521504618806
0.72565,0.934290634185925,3.48618380683681,7.2673385022535,11.9648816845271,17.6398342183723,23.205409211932,29.7233318488751,35.6042441294884,44.9926571991673,52.6140835276501,60.0007647455322,67.4665690927475,75.3579160515063,81.7751508572124
0.73565,0.901560085108443,3.38296848821035,7.05964018048333,11.6219051745556,17.1283564681813,22.5185210621398,28.8297301787248,34.4062100417415,43.5955371181939,50.9543154418709,58.0907523235812,65.283971662058,72.9099029304139,79.1044725838412
0.74565,0.868989012827309,3.28048185249349,6.8532901570138,11.2812074131555,16.6200786898299,21.8359258068868,27.941816826161,33.216365777605,42.2059465905384,49.3037805271741,56.192572858496,63.1152978568485,70.4773495727533,76.4506555887952
0.75565,0.83670596048451,3.17912836761572,6.64910280111519,10.9441329787409,16.1170068234993,21.1603173377971,27.0630959795372,32.0394071088013,40.8293696951699,47.6689926908103,54.3137175974298,60.9691064418554,68.0698561552992,73.8241732753403
0.76565,0.804838334538918,3.07930802947783,6.44788394699689,10.6120121501098,15.6211262640143,20.4943619728423,26.1970355485857,30.879978953495,39.4712391521963,46.056403693506,52.4616015237306,58.853867454092,65.6969239546913,71.2353911692419
0.77565,0.773511901951208,2.9814147833509,6.25042771354796,10.2861556564412,15.1343940253968,19.8406879336017,25.347053478162,29.7426570449227,38.1369148823998,44.4723776873119,50.6435340933899,56.7779287754824,63.3679178502356,68.6945260107707
0.78565,0.742850293839118,2.88583496915421,6.05751337031266,9.96784950444604,14.6587310174259,19.201874972873,24.5165042591783,28.6319298730646,36.8316628540786,42.9231660992016,48.8666903879593,54.7494831875848,61.0920293650049,66.2116054338966
0.79565,0.71297451756191,2.79294579674813,5.86990226206955,9.65834990308593,14.1960144646843,18.5804441935662,23.7086656899599,27.552180970625,35.5606343006756,41.4148829595461,47.1380827977815,52.776536038426,58.8782403910958,63.7964283917977
