phase_(f*t)[-],d_mat_sin_01[mm],d_mat_sin_02[mm],d_mat_sin_03[mm],d_mat_sin_04[mm],d_mat_sin_05[mm],d_mat_sin_06[mm],d_mat_sin_07[mm],d_mat_sin_08[mm],d_mat_sin_09[mm],d_mat_sin_10[mm],d_mat_sin_11[mm],d_mat_sin_12[mm],d_mat_sin_13[mm],d_mat_sin_14[mm],d_mat_sin_15[mm]
0.79941,0.690553773754991,2.22489309154258,4.64749960726226,7.67761140405961,11.2104234761336,14.8485998414749,19.2720074038173,23.7275198592654,28.6349344092386,33.7534562327593,38.7823740337231,43.8194423106759,49.0096852479979,53.307599579953,56.7522213075142
0.80941,0.687908411902218,2.2181862131362,4.63019677958533,7.64768391136986,11.1657357361391,14.7858494633607,19.1909276863384,23.6578079673891,28.5866324267047,33.6964611716889,38.7141554087818,43.7381223222049,48.9161328064239,53.2027987078922,56.6397760415036
0.81941,0.685256296706591,2.21096175917268,4.61114791510338,7.6143481725221,11.115896661969,14.7156597125197,19.0996854533604,23.5745883022855,28.5211441607991,33.6185518161251,38.6212552032916,43.6282631504239,48.790039960355,53.0620906754315,56.4886557104304
0.82941,0.682607894855152,2.20324824127129,4.59042819098192,7.57773574844792,11.0611029456798,14.638307595832,18.9986407962923,23.4781892939533,28.4387280637886,33.5200356387008,38.5040400519215,43.4902983592941,48.6319043406485,52.8860307928916,56.2994567172012
0.83941,0.679973658380068,2.19507610116321,4.56811937850611,7.53799113165851,11.0015708330368,14.5540983867632,18.8881924922326,23.368991385238,28.3397093943559,33.4013014377607,38.3629725493233,43.3247724328161,48.4423500363499,52.6753138881947,56.0729257438053
0.84941,0.67736398340924,2.18647759055195,4.54430952036688,7.49527117599875,10.937535270091,14.4633644205901,18.7687764301784,23.2474255303974,28.2244789339518,33.2628178029512,38.1986094244824,43.1323386262,48.2221251316992,52.4307715646963,55.8099568045027
0.85941,0.674789169137528,2.1774866438306,4.51909258319661,7.44974447761675,10.8692489759543,14.3664637828247,18.6408638907707,23.1139714943224,28.0934914445598,33.105131265912,38.0115993435619,42.9137563877658,47.9720987537839,52.1533689192266,55.5115877175577
0.86941,0.672259377180544,2.16813874415831,4.49256808672578,7.40159070959183,10.7969814454325,14.2637788960146,18.5049596863647,22.9691559591241,27.947263873958,32.9288641433644,37.8026803499146,42.669888361748,47.6932576424914,51.8442007332939,55.1789960094446
0.87941,0.669784591471388,2.15847078342444,4.46484071102408,7.35099991284704,10.7210178854528,14.1557150104958,18.3616001687666,22.8135504455599,27.7863733155625,32.7347120811125,37.5726769513624,42.4016969838326,47.3867022562976,51.5044871524826,54.8134942676885
0.88941,0.667374578858635,2.14852091665312,4.43601988337596,7.29817174614439,10.6416580894819,14.0426986050546,18.2113511124976,22.6477690575026,27.6114547309034,32.5234413086463,37.3224968662408,42.1102406828632,47.05364242926,51.1355688710958,54.4165249606825
0.89941,0.665038850561035,2.13832841142284,4.40621934642118,7.24331469812296,10.5592152543786,13.9251757038112,18.0548054819406,22.4724660583525,27.4231984437217,32.2958856151843,37.0531274410493,41.7966697037059,46.6953925963553,50.7389018410474,53.9896547449231
0.90941,0.662786624631086,2.12793349289523,4.37555670926452,7.18664526448949,10.4740147443483,13.8036101159656,17.8925810911803,22.2883332889588,27.2223474155767,32.0529430590883,36.7656317538461,41.4622215677587,46.3133666060053,50.3160515258851,53.5345682821335
0.91941,0.660626789575591,2.11737718506474,4.34415298332641,7.12838709360873,10.3863928068798,13.678481605355,17.7253181657739,22.0960974372402,27.0096943137166,31.7955724236373,36.4611444187641,41.1082161890192,45.9090721402627,49.8686867226209,53.0530615906732
0.92941,0.658567869276777,2.10670114885565,4.31213210476614,7.06877010386552,10.2966952457297,13.550283997045,17.5536768160729,21.8965171702791,26.7860783827822,31.5247894331479,36.1408671082081,40.7360506649877,45.4841047646793,49.3985729757517,52.5470349574738
0.93941,0.656617989352434,2.09594751770547,4.27962044536243,7.00802957628196,10.2052760561928,13.4195232284277,17.3783344320689,21.6903801402098,26.5523821326926,31.2416627443747,35.8060638104018,40.3471937629612,45.0401416313374,48.9075656094619,52.0184854384751
0.94941,0.654784845087808,2.08515873128347,4.24674631378178,6.94640522597073,10.1124960280448,13.2867153525179,17.1999830100454,21.4784998757147,26.3095278557814,30.9473097290099,35.4580558410047,39.9431801234802,44.5789348598968,48.3976024055064,51.4694989771571
0.95941,0.653075671065827,2.07437736800074,4.21363944920278,6.884140256089,10.0187213216696,13.1523845013277,17.0193264215841,21.2617125713991,26.0584739869297,30.6428920639282,35.0982166284824,39.5256042038036,44.1023046227791,47.870695955671,50.9022421722747
0.96941,0.651497212615508,2.06364597697261,4.18043050929485,6.82148039802674,9.92432202299181,13.0170608173568,16.8370776357054,21.0408737877123,25.8002113210625,30.3296111465782,34.7279662938116,39.0961139853139,43.6121319617784,47.3289257189927,50.3189537272817
0.97941,0.650055699191226,2.05300691009678,4.14725055457206,6.75867294161717,9.82967068291624,12.8812783613623,16.6539559051057,20.8168550744419,25.535759102933,30.0087033536166,34.3487660459121,38.6564044696881,43.1103513644494,46.7744298150843,49.7219356151914
0.98941,0.648756819787901,2.04250215490966,4.11423053115723,6.69596575919672,9.73514084704013,12.7455730046649,16.4706839275953,20.5905405311048,25.2661610046292,29.6814351614931,33.9621124149223,38.2082109895003,42.5989431295677,46.2093965859535,49.1135439937406
0.99941,0.647605700489137,2.03217316888083,4.08150075399738,6.63360632736624,9.6411055814391,12.6104803143097,16.2879849939404,20.3628233178103,24.9924810066777,29.3490981482475,33.5695313460783,37.7533023596565,42.0799255517963,45.6360559596165,48.4961799067115
