phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm]
0.63565,40.8122485423197,77.7463596212845,116.64715202445,154.85340450841,193.952844069375,228.454882971764,266.271382994379,303.266212628793,338.831521867565,376.85925838701,413.843617822653,450.602781984489,487.78433414955,518.451058038504
0.64565,40.8121699811052,77.7512736738194,116.661918439955,154.88370362814,194.002450826693,228.531301357967,266.380436876507,303.424064919365,339.022692051784,377.101304495726,414.136890700851,450.940989824674,488.178247399036,518.885393531089
0.65565,40.8118837466568,77.7563519708047,116.677073596782,154.914791007164,194.053475943231,228.609974514663,266.492711446382,303.586664709948,339.219559797035,377.35078908871,414.439192172847,451.289609831555,488.584699917917,519.33331277572
0.66565,40.8113909686112,77.7615744705221,116.69255768445,154.946543957798,194.105718046164,228.690591954844,266.60776360757,303.753370293454,339.421348156269,377.606727564252,414.749329192839,451.647266161235,489.002087623792,519.793048039774
0.67565,40.8106935917381,77.7669205621512,116.70830959434,154.978837165653,194.158970959781,228.772835518306,266.725139301753,303.923523759106,339.627260763019,377.868109850115,415.066077791699,452.012547307578,489.428763278071,520.262784958196
0.68565,40.8097943682655,77.7723691471107,116.724267160859,155.01154318419,194.213024519159,228.856380627277,266.844375300691,304.09645358891,339.8364849743,378.133904389832,415.388187907414,452.38401167278,489.863042986878,520.740669693971
0.69565,40.8086968470176,77.7778987223251,116.740367406784,155.044532937698,194.267665399595,228.94089756738,266.965001034369,304.271477307833,340.048195077735,378.403062213785,415.714388318516,452.760193256698,490.303212846605,521.224816254373
0.70565,40.8074053594093,77.7834874650871,116.756546791798,155.077676230689,194.322677958497,229.026052788864,267.086540448125,304.447904177216,340.261555550266,378.674521079009,416.043391661009,453.139607442481,490.74753570791,521.713313934113
0.71565,40.8059250023523,77.7891133191824,116.772741463261,155.11084226173,194.377845086427,229.111510222974,267.20851388142,304.625037920807,340.475724355584,378.94720966138,416.373899509009,453.520756855676,491.194258031451,522.204234856023
0.72565,40.8042616181395,77.7947540819351,116.788887508203,155.143900139646,194.432949063935,229.196932608259,267.330439960835,304.802179472646,340.689856267259,379.220051783643,416.704607499033,453.902137273679,491.641616808305,522.695641579503
0.73565,40.8024217713885,77.8003874918316,116.804921205561,155.176719400096,194.487772420796,229.281982821591,267.451837499839,304.978629735956,340.903106204462,379.491970662593,417.03421047773,454.282243562217,492.08784651776,523.18559474672
0.74565,40.8004127231339,77.8059913163766,116.820779277657,155.209170520455,194.542098794268,229.366325208632,267.572227397807,305.153692342159,341.114632567117,379.761893158641,417.361407652726,454.659575615422,492.531186095013,523.672160736359
0.75565,40.7982424021712,77.8115434398348,116.836399139925,155.241125430974,194.595713782973,229.449626908514,267.691134530811,305.326676399128,341.323600557307,380.028754011011,417.684907726253,455.032644276069,492.969885881298,524.153419294752
0.76565,40.7959193737658,77.8170219505116,116.851719147905,155.27245802022,194.648405793046,229.531559167485,267.808089626722,305.496899217819,341.529185473843,380.291500041836,418.003433991314,455.399977212591,493.40221452898,524.627471114233
0.77565,40.7934528058496,77.8224052272281,116.866678840524,155.303044632779,194.699966873195,229.611798636349,267.922631117208,305.663689006533,341.730575966983,380.54909431257,418.31572937026,455.760124729706,493.826465834399,525.092445328846
0.78565,40.7908524328391,77.8276720246505,116.88121917871,155.332764557265,194.750193535393,229.69002864658,268.034306959334,305.826387522174,341.926977240456,380.800520216309,418.620561375907,456.111665489702,494.240965471474,525.546506897792
0.79565,40.7881285172188,77.8328015571355,116.895282778392,155.361500502713,194.798887557951,229.765940460069,268.142676419572,305.98435266803,342.117614188164,381.044785489878,418.916726975591,456.4532121218,494.644077599505,525.987863847498
0.80565,40.785291809039,77.837773580762,116.908814136965,155.389139061475,194.845856767807,229.839234487567,268.247311813172,306.136961027839,342.301734453167,381.280926129836,419.203057338997,456.783416697483,495.034211319087,526.414774343722
0.81565,40.7823535034911,77.8425684732241,116.92175985234,155.415571156786,194.89091579895,229.909621471035,268.347800192037,306.283610326123,342.478611396897,381.508010196959,419.478422450991,457.100976050147,495.409826950663,526.825553565772
0.82565,40.7793251967246,77.8471673112719,116.934068833693,155.440692473241,194.933886823968,229.976823625203,268.443744974447,306.4237218051,342.647546966863,381.725141494179,419.74173557128,457.404636918104,495.769442110939,527.218580355725
